Head_Coach,Coach,weight,group,lrole
Marty Schottenheimer,Marc Trestman,1,aOC,aOC
Marty Schottenheimer,Mike McCarthy,6,aOC,aOC
Marty Schottenheimer,Rob Chudzinski,2,aOC,aOC
Marty Schottenheimer,Tony Dungy,3,aDC,aDC
Marty Schottenheimer,Tony Sparano,1,aOC,aOC
Marv Levy,Bobby Ross,4,aOC,aOC
Marv Levy,Frank Gansz,4,aOC,aSTC
Marv Levy,Rod Rust,5,DC,DC
Marvin Lewis,Hue Jackson,3,aOC,aOC
Marvin Lewis,Jay Gruden,3,OC,OC
Marvin Lewis,Leslie Frazier,2,DC,DC
Marvin Lewis,Mike Zimmer,6,DC,DC
Marvin Lewis,Vance Joseph,2,aDC,aDC
Matt Nagy,Brandon Staley,1,aDC,aDC
Matt Nagy,Vic Fangio,1,DC,DC
Mike Ditka,Buddy Ryan,4,DC,DC
Mike Ditka,Dave McGinnis,7,aDC,aDC
Mike Ditka,Hank Kuhlmann,2,aOC,aSTC
Mike Ditka,Jack Del Rio,2,aC,aC
Mike Ditka,Vince Tobin,7,DC,DC
Mike Holmgren,Andy Reid,12,aOC,aOC
Mike Holmgren,Dick Jauron,3,aDC,aDC
Mike Holmgren,Jim Zorn,7,aOC,aOC
Mike Holmgren,Jon Gruden,3,aOC,aOC
Mike Holmgren,Marty Mornhinweg,2,aOC,aOC
Mike Holmgren,Mike Sherman,5,aOC,OC
Mike Holmgren,Ray Rhodes,2,DC,DC
Mike Holmgren,Steve Mariucci,4,aOC,aOC
Mike Holmgren,Todd Bowles,2,aC,aC
Mike Martz,Lovie Smith,4,DC,DC
Mike McCarthy,Ben McAdoo,8,aOC,aOC
Mike McCarthy,Joe Philbin,6,OC,OC
Mike McCormack,Dick LeBeau,3,aSTC,aSTC
Mike McCormack,Walt Michaels,3,DC,DC
Mike McCoy,Frank Reich,3,OC,OC
Mike McCoy,Nick Sirianni,4,aOC,aOC
Mike Mularkey,Arthur Smith,2,aOC,aOC
Mike Munchak,Arthur Smith,4,aOC,aOC
Mike Nolan,Adam Gase,1,aOC,aOC
Mike Nolan,Ben McAdoo,2,aOC,aOC
Mike Nolan,Jim Tomsula,2,aDC,aDC
Mike Nolan,Mike McCarthy,1,OC,OC
Mike Nolan,Mike Singletary,8,aDC,aHC
Mike Nolan,Vance Joseph,4,aDC,aDC
Mike Pettine,Kyle Shanahan,1,OC,OC
Mike Shanahan,Anthony Lynn,3,aSTC,aSTC
Mike Shanahan,Art Shell,1,aOC,aOC
Mike Shanahan,Gary Kubiak,19,OC,OC
Mike Shanahan,Kyle Shanahan,4,OC,OC
Mike Shanahan,Matt LaFleur,4,aOC,aOC
Mike Shanahan,Sean McVay,4,aOC,aOC
Mike Sherman,Joe Philbin,5,aOC,aOC
Mike Singletary,Jim Tomsula,3,aDC,aDC
Mike Singletary,Vance Joseph,2,aDC,aDC
Mike Smith,Dirk Koetter,3,OC,OC
Mike Tice,Scott Linehan,6,aOC,OC
Mike Tomlin,Bruce Arians,5,OC,OC
Mike Vrabel,Arthur Smith,3,OC,OC
Mike Vrabel,Matt LaFleur,1,OC,OC
Mike White,John Fox,1,DC,DC
Mike Zimmer,Kevin Stefanski,6,aOC,OC
Monte Clark,Marty Schottenheimer,2,aDC,aDC
Neill Armstrong,Buddy Ryan,4,DC,DC
Neill Armstrong,Hank Kuhlmann,6,aOC,aSTC
Nick Saban,Dan Quinn,2,aDC,aDC
Nick Saban,Jason Garrett,2,aOC,aOC
Nick Saban,Scott Linehan,1,OC,OC
Nick Skorich,Forrest Gregg,1,aOC,aOC
Norb Hecker,Tom Fears,1,OC,OC
Norm Van Brocklin,Fred Bruney,6,aDC,aDC
Norm Van Brocklin,Marion Campbell,7,DC,DC
Norv Turner,Cam Cameron,3,aOC,aOC
Norv Turner,Chuck Pagano,1,aDC,aDC
Norv Turner,Mike Martz,2,aOC,aOC
Norv Turner,Mike Nolan,3,DC,DC
Norv Turner,Rob Chudzinski,4,aOC,aOC
Norv Turner,Ron Rivera,4,DC,DC
Norv Turner,Steve Wilks,3,aDC,aDC
Otto Graham,Ed Hughes,2,aDC,aDC
Otto Graham,Mike McCormack,3,aDC,aDC
Pat Peppler,Fred Bruney,1,DC,DC
Paul Brown,Bill Johnson,8,aOC,aOC
Paul Brown,Bill Walsh,8,aOC,aOC
Paul Brown,Rick Forzano,1,aOC,aOC
Pete Carroll,Dan Quinn,3,DC,DC
Pete Carroll,Gus Bradley,3,DC,DC
Pete Carroll,Robert Saleh,3,aDC,aDC
Pete McCulley,Frank Gansz,2,aOC,aSTC
Pete McCulley,Les Steckel,1,aOC,aOC
Pete McCulley,Mike White,1,aOC,aOC
Phil Bengtson,Sam Rutigliano,1,aOC,aOC
Ray Handley,Al Groh,1,DC,DC
Ray Handley,Jim Fassel,2,aOC,OC
Ray Handley,Romeo Crennel,2,aDC,aDC
Ray Malavasi,Bud Carson,4,DC,DC
Ray Perkins,Bill Belichick,8,aDC,aSTC
