"Head_Coach","Coach","weight","group","group_count","lrole","tW","tPyW","tg_hc","ftm","ltm","fy_hc","ly_hc","fy_a","ly_a","TYr","nw","pyw500","above500","odo","cord","lodo","lcord"
"Bud Grant","Les Steckel",5,"aOC",5,"aOC",158,157.11,259,"MIN","MIN",1967,1985,1979,1983,5,1,1,1,1,0,1,0
"Bud Grant","Marc Trestman",1,"aOC",1,"aOC",158,157.11,259,"MIN","MIN",1967,1985,1985,1985,1,1,1,1,1,0,1,0
"Bud Grant","Neill Armstrong",8,"DC",7,"DC",158,157.11,259,"MIN","MIN",1967,1985,1970,1977,8,1,1,1,2,1,2,1
"Bud Grant","Pete Carroll",1,"aDC",1,"aDC",158,157.11,259,"MIN","MIN",1967,1985,1985,1985,1,1,1,1,2,0,2,0
"Bud Wilkinson","Jim Hanifan",1,"aOC",1,"aOC",9,12.09,29,"ARI","ARI",1978,1979,1978,1978,1,1,0,0,1,0,1,0
"Buddy Ryan","Jeff Fisher",7,"aDC",5,"DC",55,53.89,111,"PHI","ARI",1986,1995,1986,1990,5,1.4,0,0,2,0,2,1
"Buddy Ryan","Rex Ryan",2,"aDC",2,"aDC",55,53.89,111,"PHI","ARI",1986,1995,1994,1995,2,1,0,0,2,0,2,0
"Buddy Ryan","Rich Kotite",1,"OC",1,"OC",55,53.89,111,"PHI","ARI",1986,1995,1990,1990,1,1,0,0,1,1,1,1
"Buddy Ryan","Wade Phillips",3,"DC",3,"DC",55,53.89,111,"PHI","ARI",1986,1995,1986,1988,3,1,0,0,2,1,2,1
"Bum Phillips","Ed Biles",6,"DC",6,"DC",82,72.99,159,"TEN","NO",1975,1985,1975,1980,6,1,0,1,2,1,2,1
"Bum Phillips","Joe Bugel",4,"aOC",4,"aOC",82,72.99,159,"TEN","NO",1975,1985,1977,1980,4,1,0,1,1,0,1,0
"Bum Phillips","Richie Petitbon",3,"aDC",3,"aDC",82,72.99,159,"TEN","NO",1975,1985,1975,1977,3,1,0,1,2,0,2,0
"Bum Phillips","Wade Phillips",10,"aDC",5,"DC",82,72.99,159,"TEN","NO",1975,1985,1976,1985,10,1,0,1,2,0,2,1
"Butch Davis","Bruce Arians",3,"OC",3,"OC",24,25.85,59,"CLE","CLE",2001,2004,2001,2003,3,1,0,0,1,1,1,1
"Butch Davis","Chuck Pagano",4,"aDC",4,"aDC",24,25.85,59,"CLE","CLE",2001,2004,2001,2004,4,1,0,0,2,0,2,0
"Butch Davis","Rob Chudzinski",2,"aOC",1,"OC",24,25.85,59,"CLE","CLE",2001,2004,2004,2004,1,2,0,0,1,0,1,1
"Butch Davis","Todd Bowles",4,"aDC",4,"aDC",24,25.85,59,"CLE","CLE",2001,2004,2001,2004,4,1,0,0,2,0,2,0
"Chan Gailey","Dave Campo",2,"DC",2,"DC",34,37.99,80,"DAL","BUF",1998,2012,1998,1999,2,1,0,0,2,1,2,1
"Chan Gailey","Mike Zimmer",2,"aDC",2,"aDC",34,37.99,80,"DAL","BUF",1998,2012,1998,1999,2,1,0,0,2,0,2,0
"Charley Winner","Buddy Ryan",2,"aDC",2,"aDC",44,44.94,93,"ARI","NYJ",1966,1975,1974,1975,2,1,0,0,2,0,2,0
"Charley Winner","Leeman Bennett",1,"aOC",1,"aOC",44,44.94,93,"ARI","NYJ",1966,1975,1970,1970,1,1,0,0,1,0,1,0
"Charley Winner","Red Miller",5,"aOC",5,"aOC",44,44.94,93,"ARI","NYJ",1966,1975,1966,1970,5,1,0,0,1,0,1,0
"Charley Winner","Rick Forzano",2,"aOC",2,"aOC",44,44.94,93,"ARI","NYJ",1966,1975,1966,1967,2,1,0,0,1,0,1,0
"Charley Winner","Sam Rutigliano",2,"aDC",2,"aDC",44,44.94,93,"ARI","NYJ",1966,1975,1974,1975,2,1,0,0,2,0,2,0
"Charlie Waller","Bum Phillips",2,"DC",2,"DC",9,11.13,19,"LAC","LAC",1969,1970,1969,1970,2,1,1,0,2,1,2,1
"Chris Palmer","Ken Whisenhunt",1,"aOC",1,"aOC",5,4.06,32,"CLE","CLE",1999,2000,1999,1999,1,1,0,0,1,0,1,0
"Chris Palmer","Romeo Crennel",2,"aDC",1,"DC",5,4.06,32,"CLE","CLE",1999,2000,2000,2000,1,2,0,0,2,0,2,1
"Chris Palmer","Tony Sparano",2,"aOC",2,"aOC",5,4.06,32,"CLE","CLE",1999,2000,1999,2000,2,1,0,0,1,0,1,0
